Line No.,From Bus,To Bus,circuit,R ,X ,B ,Pmax,ratio,angle,status
1,1,2,c1,0.0303,0.0999,0.0254,175,0,0,1
2,1,3,c1,0.0129,0.0424,0.01082,175,0,0,1
3,4,5,c1,0.00176,0.00798,0.0021,500,0,0,1
4,3,5,c1,0.0241,0.108,0.0284,175,0,0,1
5,5,6,c1,0.0119,0.054,0.01426,175,0,0,1
6,6,7,c1,0.00459,0.0208,0.0055,175,0,0,1
7,8,9,c1,0.00244,0.0305,1.162,500,0,0,1
8,8,5,c1,0,0.0267,0,500,0.985,0,1
9,9,10,c1,0.00258,0.0322,1.23,500,0,0,1
10,4,11,c1,0.0209,0.0688,0.01748,175,0,0,1
11,5,11,c1,0.0203,0.0682,0.01738,175,0,0,1
12,11,12,c1,0.00595,0.0196,0.00502,175,0,0,1
13,2,12,c1,0.0187,0.0616,0.01572,175,0,0,1
14,3,12,c1,0.0484,0.16,0.0406,175,0,0,1
15,7,12,c1,0.00862,0.034,0.00874,175,0,0,1
16,11,13,c1,0.02225,0.0731,0.01876,175,0,0,1
17,12,14,c1,0.0215,0.0707,0.01816,175,0,0,1
18,13,15,c1,0.0744,0.2444,0.06268,175,0,0,1
19,14,15,c1,0.0595,0.195,0.0502,175,0,0,1
20,12,16,c1,0.0212,0.0834,0.0214,175,0,0,1
21,15,17,c1,0.0132,0.0437,0.0444,500,0,0,1
22,16,17,c1,0.0454,0.1801,0.0466,175,0,0,1
23,17,18,c1,0.0123,0.0505,0.01298,175,0,0,1
24,18,19,c1,0.01119,0.0493,0.01142,175,0,0,1
25,19,20,c1,0.0252,0.117,0.0298,175,0,0,1
26,15,19,c1,0.012,0.0394,0.0101,175,0,0,1
27,20,21,c1,0.0183,0.0849,0.0216,175,0,0,1
28,21,22,c1,0.0209,0.097,0.0246,175,0,0,1
29,22,23,c1,0.0342,0.159,0.0404,175,0,0,1
30,23,24,c1,0.0135,0.0492,0.0498,175,0,0,1
31,23,25,c1,0.0156,0.08,0.0864,500,0,0,1
32,26,25,c1,0,0.0382,0,500,0.96,0,1
33,25,27,c1,0.0318,0.163,0.1764,500,0,0,1
34,27,28,c1,0.01913,0.0855,0.0216,175,0,0,1
35,28,29,c1,0.0237,0.0943,0.0238,175,0,0,1
36,30,17,c1,0,0.0388,0,500,0.96,0,1
37,8,30,c1,0.00431,0.0504,0.514,175,0,0,1
38,26,30,c1,0.00799,0.086,0.908,500,0,0,1
39,17,31,c1,0.0474,0.1563,0.0399,175,0,0,1
40,29,31,c1,0.0108,0.0331,0.0083,175,0,0,1
41,23,32,c1,0.0317,0.1153,0.1173,140,0,0,1
42,31,32,c1,0.0298,0.0985,0.0251,175,0,0,1
43,27,32,c1,0.0229,0.0755,0.01926,175,0,0,1
44,15,33,c1,0.038,0.1244,0.03194,175,0,0,1
45,19,34,c1,0.0752,0.247,0.0632,175,0,0,1
46,35,36,c1,0.00224,0.0102,0.00268,175,0,0,1
47,35,37,c1,0.011,0.0497,0.01318,175,0,0,1
48,33,37,c1,0.0415,0.142,0.0366,175,0,0,1
49,34,36,c1,0.00871,0.0268,0.00568,175,0,0,1
50,34,37,c1,0.00256,0.0094,0.00984,500,0,0,1
51,38,37,c1,0,0.0375,0,500,0.935,0,1
52,37,39,c1,0.0321,0.106,0.027,175,0,0,1
53,37,40,c1,0.0593,0.168,0.042,175,0,0,1
54,30,38,c1,0.00464,0.054,0.422,175,0,0,1
55,39,40,c1,0.0184,0.0605,0.01552,175,0,0,1
56,40,41,c1,0.0145,0.0487,0.01222,175,0,0,1
57,40,42,c1,0.0555,0.183,0.0466,175,0,0,1
58,41,42,c1,0.041,0.135,0.0344,175,0,0,1
59,43,44,c1,0.0608,0.2454,0.06068,175,0,0,1
60,34,43,c1,0.0413,0.1681,0.04226,175,0,0,1
61,44,45,c1,0.0224,0.0901,0.0224,175,0,0,1
62,45,46,c1,0.04,0.1356,0.0332,175,0,0,1
63,46,47,c1,0.038,0.127,0.0316,175,0,0,1
64,46,48,c1,0.0601,0.189,0.0472,175,0,0,1
65,47,49,c1,0.0191,0.0625,0.01604,175,0,0,1
66,42,49,c1,0.0715,0.323,0.086,175,0,0,1
67,42,49,c2,0.0715,0.323,0.086,175,0,0,1
68,45,49,c1,0.0684,0.186,0.0444,175,0,0,1
69,48,49,c1,0.0179,0.0505,0.01258,175,0,0,1
70,49,50,c1,0.0267,0.0752,0.01874,175,0,0,1
71,49,51,c1,0.0486,0.137,0.0342,175,0,0,1
72,51,52,c1,0.0203,0.0588,0.01396,175,0,0,1
73,52,53,c1,0.0405,0.1635,0.04058,175,0,0,1
