a,b,c,Carbon,SUcost,FuelCost
0.069663,26.2438,31.67,0.8,40,1
0.069663,26.2438,31.67,0.8,40,1
0.069663,26.2438,31.67,0.8,40,1
0.010875,12.8875,6.78,1.2,440,1
0.010875,12.8875,6.78,1.2,110,1
0.069663,26.2438,31.67,0.8,40,1
0.0128,17.82,10.15,1,50,1
0.069663,26.2438,31.67,0.8,40,1
0.069663,26.2438,31.67,0.8,40,1
0.010875,12.8875,6.78,1.2,100,1
0.003,10.76,32.96,1.2,100,1
0.069663,26.2438,31.67,0.8,40,1
0.069663,26.2438,31.67,0.8,40,1
0.0128,17.82,10.15,1,50,1
0.069663,26.2438,31.67,0.8,40,1
0.0128,17.82,10.15,1,50,1
0.069663,26.2438,31.67,0.8,40,1
0.069663,26.2438,31.67,0.8,40,1
0.0128,17.82,10.15,1,59,1
0.002401,12.3299,28,1,100,1
0.002401,12.3299,28,1,100,1
0.0128,17.82,10.15,1,50,1
0.0128,17.82,10.15,1,50,1
0.0044,13.29,39,1,100,1
0.0044,13.29,39,1,100,1
0.0128,17.82,10.15,1,50,1
0.01059,8.3391,64.16,1.2,250,1
0.01059,8.3391,64.16,1.2,250,1
0.010875,12.8875,6.78,1.2,100,1
0.045923,15.4708,74.33,0.8,45,1
0.069663,26.2438,31.67,0.8,40,1
0.069663,26.2438,31.67,0.8,40,1
0.028302,37.6968,17.95,0.8,30,1
0.0128,17.82,10.15,1,50,1
0.0128,17.82,10.15,1,50,1
0.010875,12.8875,6.78,1.2,440,1
0.0128,17.82,10.15,1,50,1
0.069663,26.2438,31.67,0.8,40,1
0.003,10.76,32.96,1.2,440,1
0.010875,12.8875,6.78,1,400,1
0.028302,37.6968,17.95,0.8,30,1
0.009774,22.9423,58.81,0.8,45,1
0.010875,12.8875,6.78,1.2,100,1
0.010875,12.8875,6.78,1.2,100,1
0.010875,12.8875,6.78,1.2,110,1
0.028302,37.6968,17.95,0.8,30,1
0.0128,17.82,10.15,1,50,1
0.0128,17.82,10.15,1,50,1
0.028302,37.6968,17.95,0.8,30,1
0.009774,22.9423,58.81,0.8,45,1
0.0128,17.82,10.15,1,50,1
0.0128,17.82,10.15,1,50,1
0.0128,17.82,10.15,1,50,1
0.009774,22.9423,58.81,0.8,45,1
